Gene,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2
YALI0D26950g,9.261556499,10.74855874,13.30956758,9.658372946,6.4798156979999995,13.62335499,11.915403999999999,7.637447384,7.983537475
YALI0D26972g,23.14961969,24.07530115,45.19897481,33.80122256,33.60237184,41.80792968,43.32693931,29.14262354,35.61473516
YALI0D26994g,49.13782335,52.55781346,30.07763882,24.23353913,45.47247317,57.44379132,58.79491905,60.19184718,56.65749326
YALI0D27016g,99.10752166,110.59518590000002,95.47039503,89.2076835,113.84585520000002,126.00564229999999,127.52293540000001,91.85507334,118.6935473
YALI0D27038g,59.34571377,62.39145777,81.98454621,60.71073609,22.63242342,44.93369028,40.62882327,28.60373631,32.52115394
YALI0D27060g,7.535474847000001,8.652897218,9.999085546,7.1639669029999995,4.13408758,9.923373905,11.19208307,4.549051624,4.999554304
YALI0D27082g,71.42235949,75.59503007,59.00284141,59.99496388,93.79076785,100.45665129999999,91.89760368,86.50388464,79.1592565
YALI0D27104g,24.54822001,21.61802709,21.17329591,16.113889,45.94407139,46.19531897,43.0598873,43.62330414,42.29421043
YALI0D27126g,305.05947260000005,297.7530457,512.7352658,480.8811021000001,242.75009559999998,212.8321977,216.18003059999998,261.05163450000003,270.1964188
YALI0D27148g,297.99413419999996,303.8397705,316.1154127,312.545924,275.4989335,317.61009920000004,310.0490616,269.20864480000006,281.028582
YALI0D27170g,80.31842259,87.87191795,88.97337679,84.22929886,56.63168337,51.6586099,57.08560034,55.10072627,63.27325209
YALI0D27192g,107.12453219999999,120.53277549999999,155.6686132,151.1347289,84.46679767,81.4534196,82.13538168,83.17168676,93.47532195
YALI0D27214g,0.871311946,0.7496111520000001,0.691108473,2.30787157,0.366099794,0.41470421700000004,0.7899602579999999,0.8056950079999999,0.34119596799999996
YALI0D27236g,72.56376999999999,63.96093901,600.6393247999999,1094.973986,126.9648443,59.40332973,45.39948074,157.7858886,98.03613845
YALI0D27258g,18.97743821,21.94316282,25.42376027,17.69825169,13.71487486,23.12741796,26.11357263,14.16146311,19.13944597
YALI0D27280g,56.03098967,52.24716239,30.37383626,27.1476592,41.58629123,52.88867885,49.08467116,51.87616074,39.1589971
YALI0D27302g,111.07265520000001,121.3709737,138.55430090000002,145.52735239999998,87.16901456,98.00097114,93.95980542,83.34499454,95.63796614
YALI0D27324g,148.57801730000003,144.0434318,145.708703,129.1551196,165.8523358,166.6862881,160.6852165,127.61075509999999,155.0174051
YALI0D27346g,40.64833548,45.20287292,27.78682736,33.47234666,41.81433437,43.71673616,45.62020492,38.14247371,40.99006649
YALI0E00110g,11.72144269,10.40626413,9.492550895,6.6884964270000005,8.580825172,10.4427914,10.48338681,7.104372337999999,9.286041596
YALI0E00132g,24.97831503,27.94727366,17.96315105,13.29790791,16.93804765,20.84741856,21.18080943,22.905552399999998,16.118044199999996
YALI0E00154g,60.16960108,65.82869884,81.4106088,68.72457859,62.42283263,77.86424217,82.08025355,72.55732567,76.45636557
YALI0E00176g,48.83352927,52.00061178,65.57576787,57.53219966,48.83771254,62.81231616,62.31969239,54.64244383,56.50205225
YALI0E00198g,85.98255531,87.77240938,80.87338952,70.16036419,86.54842070000001,86.94773082,93.07085017,74.81831650000001,84.49921515
YALI0E00220g,144.9971763,152.43696369999998,148.7672112,145.3469211,187.77081919999998,175.93924199999998,182.7267507,168.50522030000002,189.2378253
YALI0E00242g,868.3882659,818.900354,1154.783584,1223.165262,968.3501796,1411.570452,1217.342457,1132.244534,1025.829097
YALI0E00264g,19.57610442,21.12881035,42.47979827,39.55705109,4.762019545,10.08076172,9.70306826,7.843779821,5.921266827999999
YALI0E00286g,2.349223839,2.862665985,1.615167227,1.126720318,1.682882212,2.227079012,2.9784979560000004,3.405359896,2.7824101989999996
YALI0E00308g,395.7717872,414.0887519,173.0198394,140.69620769999997,373.22693599999997,433.3726602,425.5827352,601.1537038,363.6576026
YALI0E00330g,213.4363527,222.6799335,426.2905678999999,450.73905260000004,222.70570959999998,211.17406450000001,220.18468560000002,266.3804583,262.0082329
YALI0E00352r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E00374r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E00396g,94.88388033,102.74273199999999,104.0727816,113.97542379999999,106.7619992,103.326753,98.42757164,93.88346965,115.76906729999999
YALI0E00418g,831.6728467,845.1409946,717.2492602000001,710.0590187999999,614.9025224999999,624.709963,598.4881825,637.898901,583.6534228999999
YALI0E00440r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E00462g,42.903555600000004,39.79530047,39.84864368,28.26767206,40.96496986,54.87825427,48.38635101,35.06968848,44.12094983
