Gene,WT_t1_rep1,WT_t1_rep2,WT_t1_rep3,WT_t2_rep1,WT_t2_rep2,MT_t1_rep1,MT_t1_rep2,MT_t2_rep1,MT_t2_rep2
YALI0B09977g,30.66861986,42.57438888,48.90016521,46.6817376,26.77541822,28.52693404,35.5523924,38.99358678,64.38096916
YALI0B09984r,0,0,0,0,0,0,0,0,0
YALI0B09991g,110.6975608,141.2449585,208.1241006,77.14251435,49.02491031,24.1780525,37.23454121,51.6222118,113.0356244
YALI0B09999g,111.7199794,101.86256,96.24976309,79.2471766,28.19112451,38.21581744,53.95081502,68.21547276,80.83203847
YALI0B10021g,48.08012304,48.94494143,54.33894503,78.39262937,86.80799238,69.36501661,50.87307491,65.51107568,80.57607011
YALI0B10043g,40.50216274,56.42610338,53.12868033,41.63927277,20.18204715,30.26650676,37.19630532,45.6739944,67.65154465
YALI0B10065g,67.38407039,72.32069474,85.95027881,77.33342302,143.3012983,79.11685368,57.12913084,60.40032955,61.10975558
YALI0B10087g,4.836552811,4.526212324,5.442153542,2.705429226,1.557645413,1.263057618,0.759739083,2.123772337,2.620410472
YALI0B10109g,70.32574861,78.17171132,66.56915149,142.9446996,18.00244805,37.60838481,58.4213157,90.77457791,123.9488306
YALI0B10131g,19.05013043,22.4001619,17.3320932,26.0702259,8.972769152,9.492843348,18.13995191,14.83850714,12.31510085
YALI0B10153g,463.3650435,392.0063731,393.3441912,404.239202,219.7551579,153.7963111,163.4684053,201.0289768,584.4799642
YALI0B10175g,3.326936655,4.252413905,5.209556834,2.667612643,2.553653599,1.921669533,1.844883654,2.343505867,3.942992816
YALI0B10197g,20.1791504,21.19430431,19.17395687,10.35324958,19.97099976,18.40603437,23.24868769,22.91221104,26.05723769
YALI0B10219g,26.78206983,22.48586144,29.45908658,16.78798857,36.38042527,19.41473412,14.28255923,20.71124806,23.02141408
YALI0B10241g,26.18229836,31.98830759,31.27621621,27.94539374,25.24634808,20.53048981,29.620632,37.17652489,64.08677657
YALI0B10263g,15.28238137,19.25481069,16.95091199,16.61917615,22.93126308,19.97668911,17.5401409,19.47551126,10.99955831
YALI0B10274g,353.5550705,311.3874799,299.5268677,631.046066,261.5236749,143.2289113,103.1755842,146.9598972,147.2184474
YALI0B10296g,20.62644622,20.42520098,19.20267324,13.84639412,11.58128689,17.41585349,21.75282716,23.09950226,25.25696349
YALI0B10318g,52.77353269,50.15309654,50.41945006,73.57447774,49.83106773,58.66190384,82.15881872,94.10667379,94.72645941
YALI0B10340g,256.6549687,224.203763,183.55194,175.175023,181.2513679,194.7675801,259.8595497,187.4272079,168.237646
YALI0B10362g,202.0062555,244.1876601,244.7790546,264.6296288,176.8059902,276.6403247,199.124841,133.3475901,99.37108767
YALI0B10384g,6.778355262,10.30870209,15.93319891,9.941166891,10.35592329,1.39059043,1.524034323,1.827635315,2.014486898
YALI0B10406g,402.8385774,340.1078776,271.2350772,224.2431344,220.453831,351.9710162,409.5216378,324.4131688,307.5261682
YALI0B10428g,41.9823126,45.51115168,51.44286285,44.88441457,24.59231436,26.39963927,41.51392488,49.25069618,58.2091862
YALI0B10450g,660.0268424,706.5517009,712.0988329,601.0157337,332.5138122,753.0670661,837.5151185,865.2497299,937.1068658
YALI0B10472g,48.07657757,49.64945769,45.89641902,50.73530183,49.14687821,44.39338327,58.61879621,66.45810559,76.02267862
YALI0B10494g,138.8283554,180.7091717,174.6547883,143.5988583,172.7752429,251.1789647,215.6277652,164.8305522,111.6208877
YALI0B10516g,132.8591167,186.5779719,182.7610198,114.3885201,52.03419156,112.3263173,197.54859,184.3036731,189.207473
YALI0B10538g,35.01715551,34.19124621,36.11417882,37.79191105,36.68615584,30.08093045,41.28976851,45.68681585,47.78972556
YALI0B10560g,100.0248959,79.45948044,107.4334639,62.04378909,175.4183055,95.6682829,68.17097134,63.28220234,49.07668632
YALI0B10582g,37.79106888,39.18708143,37.30328606,38.47583344,129.7090003,62.82972153,44.39062267,47.44970721,35.00214115
YALI0B10604g,1.64337391,2.644891579,2.875058677,1.483855013,0.500391251,1.070743323,1.055511166,1.959306968,2.266392509
