Gene,class,feature,centrality_degree,centrality_betweenness,centrality_eigenvector_weighted,color,shape,size,border
YALI0E20977g,case_overexpressed,,0.0012224938875305623,0.0,3.416316532542774e-11,lightblue,circle,30,2
YALI0E23826g,control_upregulated,,0.0006112469437652812,0.0,1.3985429242491342e-08,red,circle,30,2
YALI0F21835g,control_upregulated,,0.0012224938875305623,0.0,3.395917466871251e-07,red,circle,30,2
YALI0F02343g,case_overexpressed,,0.0018337408312958435,0.0010108940280986669,1.6849444882834874e-09,lightblue,circle,30,2
YALI0F13849g,control_overexpressed,,0.0006112469437652812,0.0,6.189371172585699e-11,orange,circle,30,2
YALI0E23496g,control_overexpressed,,0.0006112469437652812,0.0,1.8619483518950446e-13,orange,circle,30,2
YALI0E23540g,changed_regulation,,0.0006112469437652812,0.0,2.850469081444674e-10,green,circle,30,2
YALI0F24915g,changed_regulation,,0.0006112469437652812,0.0,2.83095324934354e-11,green,circle,30,2
YALI0E24167g,control_overexpressed,,0.0,0.0,3.040391144120668e-43,orange,circle,30,2
YALI0F30261g,changed_regulation,,0.0024449877750611247,0.003228840289566703,1.1118396582045798e-12,green,circle,30,2
YALI0F23573g,changed_regulation,,0.0006112469437652812,0.0,2.5277415792944793e-13,green,circle,30,2
YALI0E24343g,control_upregulated,,0.0006112469437652812,0.0,6.313833401483216e-06,red,circle,30,2
YALI0E24497g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
YALI0F09449g,changed_regulation,,0.0006112469437652812,0.0,1.6322975663807864e-34,green,circle,30,2
YALI0F20438g,changed_regulation,,0.0006112469437652812,0.0,2.3531559389485293e-05,green,circle,30,2
YALI0E27918g,control_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,circle,30,2
YALI0F12375g,control_overexpressed,Mutated_Gene,0.0006112469437652812,0.0,1.6322975663807864e-34,orange,diamond,80,15
YALI0E28512g,changed_regulation,,0.0012224938875305623,0.0,7.309152001116248e-07,green,circle,30,2
YALI0E33377g,control_overexpressed,,0.0006112469437652812,0.0,3.523086098713046e-08,orange,circle,30,2
YALI0F08811g,control_overexpressed,,0.0006112469437652812,0.0,6.8442138855945835e-15,orange,circle,30,2
YALI0F11077g,changed_regulation,,0.0018337408312958435,0.0,5.201129283343629e-12,green,circle,30,2
YALI0E30657g,case_overexpressed,,0.0006112469437652812,0.0,8.685457346715972e-11,lightblue,circle,30,2
YALI0E30943g,case_overexpressed,,0.0006112469437652812,0.0,1.6322975663807864e-34,lightblue,circle,30,2
