Gene,MT_t1_rep1,MT_t1_rep2,MT_t1_rep3,MT_t2_rep1,MT_t2_rep2,WT_t1_rep1,WT_t1_rep2,WT_t2_rep1,WT_t2_rep2
YALI0E28534g,125.0250202,134.48689219999997,162.39963909999997,150.22457450000002,138.2533898,38.76819658,52.68240201,65.9102556,85.77054338
YALI0E28548g,1.5620984269999998,3.454402813,1.590500342,4.720644385,2.264040877,0.239508375,0.678104557,1.2360471690000001,0.642144544
YALI0E28556g,49.63182169,61.91104077,67.51270111,44.35007126,49.40580026,41.54594053,41.89235809,51.37478817,47.16274032
YALI0E28578g,203.6088733,248.5867852,226.93820970000002,193.69108590000002,184.95776830000003,141.8605122,158.2466178,158.4818164,131.00814499999998
YALI0E28600g,79.04314766,86.57885944,88.3003322,66.8613272,73.7879571,57.58285558,37.6883375,47.55186451,47.78907293
YALI0E28622g,3.702071175,6.648586957999999,6.1671758510000005,4.5297963789999995,3.5967741589999997,5.6816708910000004,3.7000166610000003,5.140799689,6.592683987999999
YALI0E28644g,24.25093015,41.06010374,40.55129327,22.34409176,22.17549607,30.47037827,28.55154557,37.60786108,40.91613314
YALI0E28666g,3.142086581,7.187561995,6.118946275,4.735240684,3.410342123,7.630355302999999,7.902756991,12.00238071,20.11674059
YALI0E28682r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E28699g,1.821782309,1.955034164,1.619173201,2.84870735,1.709026231,0.7914189779999999,0.036286531000000004,0.724091706,0.6700638720000001
YALI0E28721g,332.5125593,320.4853111,341.5136127,386.144919,392.5622082,325.30559710000006,442.4255511,384.43235469999996,426.5266762
YALI0E28743g,33.4375012,42.11268102,38.31006888,53.14006613,36.35066812,44.01125756,56.82194889,66.46208561,64.8785735
YALI0E28765r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YALI0E28787g,150.84887319999999,169.1955843,165.4931158,139.1075983,129.4352647,107.2393354,118.76369270000001,95.77050537,97.14894894
YALI0E28809g,26.3674115,31.47970834,28.39560075,23.40118396,25.10217279,12.86998419,13.656084400000001,17.49900912,25.37769569
YALI0E28831g,0.41928219200000005,0.582889816,0.627579539,0.990892958,0.719354832,0.670623449,0.302925341,0.539716503,0.599334908
YALI0E28853g,270.1633335,294.0623869,273.9477347,242.3025116,208.9026887,127.1959737,141.15254380000002,156.8426389,129.52451090000002
YALI0E28875g,0.6486221839999999,0.964339768,1.569963035,1.4988296840000002,1.382793427,1.5215826159999999,1.791914305,2.051149482,1.888660424
YALI0E28897g,137.0193059,180.4511993,141.6335316,246.71064819999998,155.7114419,113.9570358,78.97538444,154.0201196,121.39812920000001
YALI0E28919g,67.30622682,69.07244314,67.02549473,58.22203909,60.03016072,67.01763671,64.14660464,56.58927531,51.30306813
YALI0E28930g,638.4862422,823.0733246,772.3199362,814.13044,629.7545466,905.9906472000001,473.3068851,352.6742667,306.385805
YALI0E28941g,36.14833756,44.59573815,39.95343485,27.54299567,35.577344399999994,21.40744605,29.79279196,39.8016912,50.10098573
YALI0E28963g,349.3835073,305.7934861,329.27380689999995,287.6881581,335.4033727,437.34006439999996,451.69187489999996,443.81264569999996,367.8383153
YALI0E28985g,15.32113875,17.25660638,14.733055800000002,18.77481394,16.14491859,23.49703214,28.72747404,37.08826298,51.1011869
YALI0E29007g,26.04613571,33.32381912,37.77528754,25.88222967,30.55967944,39.02508911,33.62787928,34.35059366,27.96322986
YALI0E29029g,16.62169816,16.67834727,18.19889577,16.44187884,14.08849652,10.88181446,15.91705281,18.42164441,16.82661025
YALI0E29051g,31.86042527,33.53361618,31.06388633,27.95945613,33.95397882,22.52812905,26.69189454,31.02077157,43.06598142
YALI0E29073g,2150.699837,1771.2217309999999,1986.691534,2040.9024550000001,2019.560145,2492.1644760000004,2194.786826,1730.40821,1157.0017699999999
YALI0E29095g,453.6892513,559.2769491,551.0920755,532.2284256,484.83076960000005,1045.475133,414.1837598,320.4167345,208.7123884
YALI0E29117g,29.41302695,29.3776467,32.46420678,23.92581825,29.45758036,22.29152346,26.38306617,27.337720299999997,44.05111574
YALI0E29139g,26.35240555,34.65048122,32.25671055,27.84473556,26.93493376,58.88277105,45.91826897,41.06751935,28.80893933
YALI0E29161g,5.773758892999999,7.344928015,7.419484022000001,6.112968016,5.761564906,6.059373292999999,10.27548141,17.30466037,39.39329248
YALI0E29205g,84.75039525,83.84807095,88.58352912,77.38741611,101.253074,51.7200243,102.21628759999999,94.14364263,100.46405290000001
YALI0E29227g,36.10055409,29.50879691,31.29600368,26.47542122,25.96421346,14.46031813,19.35206083,28.120073100000003,44.80964898
YALI0E29249g,81.73461644,94.65482949,89.6419594,71.06118070000001,81.36702432,69.1321704,107.3076957,117.8740842,106.5706257
YALI0E29271g,0.362517604,0.205323223,0.374110338,0.39890574799999995,0.35897354600000003,0.157484959,0.320116798,0.0,0.14074401
YALI0E29293g,105.8637382,112.43637759999999,102.2421078,99.61081841,94.71505286,75.76868446,73.38537201,80.78703862,72.02533544
YALI0E29307g,27.75970269,30.47367467,30.29833627,39.60610407,27.69064625,50.95615833,67.00933059,85.44231631,118.0614538
YALI0E29315g,5.24663278,6.024827505,6.133809066,3.532955685,5.34982375,5.560351289,5.367560658,7.755590082,6.043713358
YALI0E29337g,43.65003638,56.19108071,52.19730508,49.24689189,41.87761362,43.63677411,83.26044752,103.7400257,96.62725388
YALI0E29359g,24.22323325,33.53543348,30.95207922,23.96393312,28.0370032,24.03159733,28.77611914,29.84320028,36.94082433
YALI0E29381g,6.545292002999999,8.42150623,8.636252641,6.330946244,5.86958237,3.3462601569999997,5.208935306,5.930259242000001,4.816740672
